clicks,visits,group,no_clicks
0,1,control,1.0
1,1,control,0.0
1,1,treatment,0.0
0,1,treatment,1.0
0,1,control,1.0
1,1,control,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
0,1,treatment,1.0
0,1,treatment,1.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
0,1,treatment,1.0
1,1,treatment,0.0
1,1,control,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
0,1,treatment,1.0
0,1,treatment,1.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
0,1,control,1.0
0,1,treatment,1.0
1,1,treatment,0.0
1,1,treatment,0.0
0,1,treatment,1.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
0,1,treatment,1.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
1,1,treatment,0.0
0,1,treatment,1.0
0,1,treatment,1.0
1,1,treatment,0.0
0,1,treatment,1.0
1,1,treatment,0.0
1,1,treatment,0.0
0,1,treatment,1.0
0,1,treatment,1.0
0,1,treatment,1.0
0,1,treatment,1.0
0,1,treatment,1.0
0,1,treatment,1.0
1,1,treatment,0.0
0,1,treatment,1.0
0,1,treatment,1.0
